Distance_m,RSSI_dBm,Timestamp,RSSI_filtered
0.65,-59,1770628812.61299,-59.59689364757653
0.65,-59,1770628812.71376,-59.5955265374459
0.65,-59,1770628812.81283,-59.59416564575344
0.65,-59,1770628812.91188,-59.59281093010103
0.65,-59,1770628813.01267,-59.591462348475105
0.65,-59,1770628813.11187,-59.59011985924231
0.65,-59,1770628813.21249,-59.588783421145216
0.65,-59,1770628813.31278,-59.587452993298086
0.65,-59,1770628813.41279,-59.5861285351827
0.65,-59,1770628813.5127,-59.58481000664422
0.65,-59,1770628813.61303,-59.58349736788714
0.65,-59,1770628813.71357,-59.58219057947128
0.65,-59,1770628813.81393,-59.580889602307806
0.65,-59,1770628813.91483,-59.57959439765535
0.65,-59,1770628814.01377,-59.57830492711614
0.65,-59,1770628814.11441,-59.577021152632234
0.65,-59,1770628814.21398,-59.575743036481704
0.65,-59,1770628814.31474,-59.574470541275005
0.65,-59,1770628814.41438,-59.57320362995128
0.65,-59,1770628814.51444,-59.571942265774766
0.65,-59,1770628814.61544,-59.57068641233124
0.65,-59,1770628814.71598,-59.56943603352452
0.65,-59,1770628814.81624,-59.56819109357296
0.65,-59,1770628814.91649,-59.5669515570061
0.65,-59,1770628815.01794,-59.56571738866121
0.65,-59,1770628815.1189,-59.56448855368002
0.65,-59,1770628815.21816,-59.563265017505415
0.65,-59,1770628815.31722,-59.56204674587818
0.65,-59,1770628815.41851,-59.5608337048338
0.65,-59,1770628815.5178,-59.559625860699306
0.65,-59,1770628815.61852,-59.55842318009015
0.65,-59,1770628815.71707,-59.55722562990712
0.65,-59,1770628815.81826,-59.55603317733331
0.65,-59,1770628815.91815,-59.55484578983109
0.65,-59,1770628816.01996,-59.55366343513917
0.65,-59,1770628816.11819,-59.55248608126966
0.65,-59,1770628816.219,-59.55131369650519
0.65,-59,1770628816.31957,-59.55014624939602
0.65,-59,1770628816.42084,-59.548983708757284
0.65,-59,1770628816.52012,-59.54782604366615
0.65,-59,1770628816.61812,-59.54667322345911
0.65,-59,1770628816.71893,-59.545525217729256
0.65,-59,1770628816.81872,-59.544381996323594
0.65,-59,1770628816.92088,-59.5432435293404
0.65,-59,1770628817.01902,-59.54210978712663
0.65,-59,1770628817.1191,-59.54098074027531
0.65,-59,1770628817.21859,-59.53985635962301
0.65,-59,1770628817.31984,-59.53873661624731
0.65,-59,1770628817.42122,-59.53762148146435
0.65,-59,1770628817.52094,-59.536510926826324
0.65,-59,1770628817.61907,-59.5354049241191
0.65,-59,1770628817.71981,-59.534303445359804
0.65,-59,1770628817.81963,-59.53320646279446
0.65,-59,1770628817.91927,-59.53211394889567
0.65,-59,1770628818.01932,-59.531025876360275
0.65,-59,1770628818.11996,-59.529942218107095
0.65,-59,1770628818.22087,-59.52886294727468
0.65,-59,1770628818.32088,-59.527788037219096
0.65,-59,1770628818.42053,-59.52671746151169
0.65,-59,1770628818.51901,-59.52565119393695
0.65,-59,1770628818.62081,-59.524589208490376
0.65,-59,1770628818.72075,-59.52353147937631
0.65,-59,1770628818.82041,-59.52247798100589
0.65,-59,1770628818.92082,-59.52142868799497
0.65,-59,1770628819.0203,-59.52038357516206
0.65,-59,1770628819.12079,-59.51934261752631
0.65,-59,1770628819.22001,-59.51830579030556
0.65,-59,1770628819.32062,-59.51727306891431
0.65,-59,1770628819.42014,-59.51624442896179
0.65,-59,1770628819.51994,-59.51521984625007
0.65,-59,1770628819.62107,-59.514199296772105
0.65,-59,1770628819.72014,-59.5131827567099
0.65,-59,1770628819.82171,-59.51217020243263
0.65,-59,1770628819.91971,-59.511161610494796
0.65,-59,1770628820.02102,-59.51015695763445
0.65,-59,1770628820.1209,-59.50915622077136
0.65,-59,1770628820.22166,-59.50815937700527
0.65,-59,1770628820.32096,-59.50716640361413
0.65,-59,1770628820.42096,-59.50617727805237
0.65,-59,1770628820.5211,-59.5051919779492
0.65,-59,1770628820.62141,-59.50421048110692
0.65,-59,1770628820.72112,-59.503232765499206
0.65,-59,1770628820.8213,-59.502258809269534
0.65,-59,1770628820.92155,-59.50128859072949
0.7,-59,1770628834.47887,-59.0
0.7,-59,1770628834.47897,-59.0
0.7,-59,1770628834.47908,-59.0
0.7,-59,1770628834.47917,-59.0
0.7,-59,1770628834.47925,-59.0
0.7,-59,1770628834.47934,-59.0
0.7,-59,1770628834.47943,-59.0
0.7,-59,1770628834.47951,-59.0
0.7,-59,1770628834.4796,-59.0
0.7,-59,1770628834.47968,-59.0
0.7,-59,1770628834.47977,-59.0
0.7,-59,1770628834.47985,-59.0
0.7,-59,1770628834.47994,-59.0
0.7,-59,1770628834.48002,-59.0
0.7,-59,1770628834.48011,-59.0
0.7,-59,1770628834.48019,-59.0
0.7,-59,1770628834.48028,-59.0
0.7,-59,1770628834.48036,-59.0
0.7,-59,1770628834.48045,-59.0
0.7,-58,1770628834.48054,-58.974999435314636
